identifier,الجنوبي_الاستراتيجية_الطاقة_البيئة_الوطنية_العالم_المياه,لبنان_المحكمة_اللبناني_الدولية_اللبنانية_الرئيس_مجلس,السودان_الرئيس_الانتخابات_العاج_المصري_غباغبو_ساحل,العمل_الأدوية_الله_ابن_بطوطة_الرواية_المنشطة,قطر_شركة_الغاز_دولة_الشركة_الشركات_القطرية,قطر_العربية_عبد_العربي_العام_الدوحة_العامة,الفريق_المباراة_فريق_الغرافة_مباراة_النادي_الأول,آل_الشيخ_حمد_ثاني_خليفة_السمو_المفدى,الأميركية_الحرب_طالبان_باردو_الاستراتيجية_أفغانستان_العسكرية,قطر_العالم_كأس_الشيخ_دولة_حمد_القدم,الفلسطينية_إسرائيل_العربية_المتحدة_السلام_الفلسطيني_الدول,ولكن_بل_ليس_إلا_أكثر_وهذا_الآن,ريال_بنسبة_العام_قطر_البنوك_دولار_المالية,المتحدة_الولايات_النووي_السلام_اسرائيل_هل_الأميركية,الأميركية_العراق_القوات_الأميركي_الجيش_المتحدة_العراقي
AL20101211$11,7.23850886717336e-05,7.23850886717336e-05,0.0724574737604054,7.23850886717336e-05,0.0688382193268187,7.23850886717336e-05,7.23850886717336e-05,7.23850886717336e-05,0.0724574737604054,7.23850886717336e-05,0.282374230908433,0.249800941006153,7.23850886717336e-05,0.220846905537459,0.0326456749909519
AL20101212$12,0.0140269391546679,9.28936367858802e-05,0.092986530422666,9.28936367858802e-05,0.125499303297724,9.28936367858802e-05,9.28936367858802e-05,9.28936367858802e-05,0.26019507663725,9.28936367858802e-05,0.065118439386902,0.315931258708778,9.28936367858802e-05,9.28936367858802e-05,0.125499303297724
AL20101213$13,9.28936367858802e-05,0.00473757547607989,9.28936367858802e-05,0.0976312122619601,0.083697166744078,0.0372503483511379,0.0279609846725499,9.28936367858802e-05,9.28936367858802e-05,9.28936367858802e-05,0.297352531351602,0.32986530422666,0.041895030190432,9.28936367858802e-05,0.079052484904784
AL20101214$14,9.28936367858802e-05,9.28936367858802e-05,0.195169530887134,9.28936367858802e-05,0.0279609846725499,9.28936367858802e-05,9.28936367858802e-05,9.28936367858802e-05,0.12085462145843,9.28936367858802e-05,0.246261031119368,0.21374825824431,9.28936367858802e-05,9.28936367858802e-05,0.195169530887134
AL20101215$15,6.81895669962496e-05,6.81895669962496e-05,6.81895669962496e-05,6.81895669962496e-05,6.81895669962496e-05,6.81895669962496e-05,6.81895669962496e-05,6.81895669962496e-05,6.81895669962496e-05,6.81895669962496e-05,0.562632117286055,0.436481418342994,6.81895669962496e-05,6.81895669962496e-05,6.81895669962496e-05
AL20101216$16,6.81895669962496e-05,6.81895669962496e-05,6.81895669962496e-05,6.81895669962496e-05,6.81895669962496e-05,6.81895669962496e-05,6.81895669962496e-05,6.81895669962496e-05,6.81895669962496e-05,6.81895669962496e-05,0.56945107398568,0.429662461643369,6.81895669962496e-05,6.81895669962496e-05,6.81895669962496e-05
AL20101217$17,6.81895669962496e-05,6.81895669962496e-05,6.81895669962496e-05,6.81895669962496e-05,6.81895669962496e-05,6.81895669962496e-05,6.81895669962496e-05,6.81895669962496e-05,6.81895669962496e-05,0.00347766791680873,0.59672690078418,0.398977156495056,6.81895669962496e-05,6.81895669962496e-05,6.81895669962496e-05
AL20101218$18,6.18620476337767e-05,6.18620476337767e-05,6.18620476337767e-05,6.18620476337767e-05,0.00934116919270028,6.18620476337767e-05,6.18620476337767e-05,6.18620476337767e-05,6.18620476337767e-05,6.18620476337767e-05,0.609403031240334,0.38051345499536,6.18620476337767e-05,6.18620476337767e-05,6.18620476337767e-05
AL20101219$19,6.18620476337767e-05,6.18620476337767e-05,6.18620476337767e-05,6.18620476337767e-05,6.18620476337767e-05,6.18620476337767e-05,6.18620476337767e-05,6.18620476337767e-05,6.18620476337767e-05,6.18620476337767e-05,0.581565109805135,0.417630683575626,6.18620476337767e-05,6.18620476337767e-05,6.18620476337767e-05
AL20101220$20,0.0316342616920652,0.000105097214923805,0.0421439831844456,0.000105097214923805,0.000105097214923805,0.000105097214923805,0.000105097214923805,0.000105097214923805,0.299632159747767,0.000105097214923805,0.157750919600631,0.247083552285864,0.000105097214923805,0.000105097214923805,0.220809248554913
AL20101221$21,7.53863550697324e-05,7.53863550697324e-05,0.0528458349038824,7.53863550697324e-05,0.0226912928759894,7.53863550697324e-05,7.53863550697324e-05,7.53863550697324e-05,0.305390124387486,7.53863550697324e-05,0.105616283452695,0.282774217866566,7.53863550697324e-05,0.0151526573690162,0.214926498303807
AL20101222$22,9.83767830791933e-05,9.83767830791933e-05,9.83767830791933e-05,9.83767830791933e-05,0.0542056074766355,9.83767830791933e-05,9.83767830791933e-05,9.83767830791933e-05,0.309985243482538,9.83767830791933e-05,0.250959173635022,0.383767830791933,9.83767830791933e-05,9.83767830791933e-05,9.83767830791933e-05
AL20101223$23,0.000102406554019457,0.000102406554019457,0.000102406554019457,0.000102406554019457,0.015463389656938,0.000102406554019457,0.000102406554019457,0.000102406554019457,0.481413210445468,0.000102406554019457,0.0564260112647209,0.291961085509473,0.000102406554019457,0.000102406554019457,0.153712237583205
AL20101224$24,0.000136705399863295,0.000136705399863295,0.130006835269993,0.000136705399863295,0.19835953520164,0.000136705399863295,0.000136705399863295,0.000136705399863295,0.000136705399863295,0.000136705399863295,0.191524265208476,0.21203007518797,0.000136705399863295,0.000136705399863295,0.266712235133288
AL20101225$25,5.98265031408914e-05,5.98265031408914e-05,0.0150164522883637,5.98265031408914e-05,0.128686808256057,0.0209991026024529,5.98265031408914e-05,5.98265031408914e-05,5.98265031408914e-05,5.98265031408914e-05,0.412862698175292,0.373975471133712,0.0090338019742746,5.98265031408914e-05,0.0389470535447203
AL20101226$26,8.32292967124428e-05,8.32292967124428e-05,8.32292967124428e-05,8.32292967124428e-05,8.32292967124428e-05,8.32292967124428e-05,8.32292967124428e-05,8.32292967124428e-05,0.0333749479816896,8.32292967124428e-05,0.486974615064503,0.353807740324594,8.32292967124428e-05,0.0208905534748231,0.104119850187266
AL20101227$27,0.222015090989791,8.87705281846427e-05,8.87705281846427e-05,8.87705281846427e-05,0.261961828672881,8.87705281846427e-05,8.87705281846427e-05,0.0222814025743453,0.00896582334664891,8.87705281846427e-05,0.0977363515312916,0.279715934309809,8.87705281846427e-05,0.044474034620506,0.0622281402574345
AL20101228$28,8.72219799389446e-05,8.72219799389446e-05,8.72219799389446e-05,8.72219799389446e-05,0.213781072830353,0.161447884866986,8.72219799389446e-05,8.72219799389446e-05,8.72219799389446e-05,8.72219799389446e-05,0.0873092019188836,0.436197121674662,8.72219799389446e-05,8.72219799389446e-05,0.100392498909725
AL20101229$29,7.62485703393061e-05,7.62485703393061e-05,7.62485703393061e-05,0.278383530308807,0.0343881052230271,0.144948532215021,7.62485703393061e-05,7.62485703393061e-05,7.62485703393061e-05,0.00388867708730461,7.62485703393061e-05,0.297445672893633,7.62485703393061e-05,0.095386961494472,0.144948532215021
AL20101230$30,9.98502246630055e-05,0.055017473789316,0.0849725411882177,9.98502246630055e-05,0.12990514228657,9.98502246630055e-05,9.98502246630055e-05,9.98502246630055e-05,0.0899650524213679,9.98502246630055e-05,9.98502246630055e-05,0.274687968047928,9.98502246630055e-05,0.0899650524213679,0.274687968047928
AL20101231$31,0.000104004160166407,0.000104004160166407,0.0105044201768071,0.0313052522100884,0.000104004160166407,0.0625065002600104,0.000104004160166407,0.000104004160166407,0.291315652626105,0.000104004160166407,0.202912116484659,0.21851274050962,0.000104004160166407,0.000104004160166407,0.182111284451378
AL20101201$32,5.70939194975735e-05,5.70939194975735e-05,5.70939194975735e-05,5.70939194975735e-05,5.70939194975735e-05,0.399714530402512,5.70939194975735e-05,5.70939194975735e-05,5.70939194975735e-05,5.70939194975735e-05,5.70939194975735e-05,0.599543248644019,5.70939194975735e-05,5.70939194975735e-05,5.70939194975735e-05
AL20101202$33,0.000221483942414175,0.000221483942414175,0.000221483942414175,0.996899224806202,0.000221483942414175,0.000221483942414175,0.000221483942414175,0.000221483942414175,0.000221483942414175,0.000221483942414175,0.000221483942414175,0.000221483942414175,0.000221483942414175,0.000221483942414175,0.000221483942414175
AL20101203$34,0.000221483942414175,0.000221483942414175,0.000221483942414175,0.996899224806202,0.000221483942414175,0.000221483942414175,0.000221483942414175,0.000221483942414175,0.000221483942414175,0.000221483942414175,0.000221483942414175,0.000221483942414175,0.000221483942414175,0.000221483942414175,0.000221483942414175
AL20101204$35,0.000221483942414175,0.000221483942414175,0.000221483942414175,0.996899224806202,0.000221483942414175,0.000221483942414175,0.000221483942414175,0.000221483942414175,0.000221483942414175,0.000221483942414175,0.000221483942414175,0.000221483942414175,0.000221483942414175,0.000221483942414175,0.000221483942414175
AL20101205$36,6.07348921955664e-05,6.07348921955664e-05,6.07348921955664e-05,6.07348921955664e-05,0.112420285453993,0.625630124506529,0.0607956270877619,6.07348921955664e-05,0.00309747950197388,0.0668691163073186,6.07348921955664e-05,0.130640753112663,6.07348921955664e-05,6.07348921955664e-05,6.07348921955664e-05
AL20101206$37,2.7311211252219e-05,2.7311211252219e-05,2.7311211252219e-05,2.7311211252219e-05,2.7311211252219e-05,0.562638263006964,2.7311211252219e-05,2.7311211252219e-05,2.7311211252219e-05,2.7311211252219e-05,2.7311211252219e-05,0.437006691246757,2.7311211252219e-05,2.7311211252219e-05,2.7311211252219e-05
AL20101207$38,5.43035568829758e-05,5.43035568829758e-05,5.43035568829758e-05,0.43448275862069,5.43035568829758e-05,0.458919359218029,5.43035568829758e-05,5.43035568829758e-05,5.43035568829758e-05,5.43035568829758e-05,5.43035568829758e-05,0.105946239478686,5.43035568829758e-05,5.43035568829758e-05,5.43035568829758e-05
AL20101208$39,3.88878086719813e-05,3.88878086719813e-05,3.88878086719813e-05,0.573634065720397,3.88878086719813e-05,0.190589150301381,3.88878086719813e-05,3.88878086719813e-05,3.88878086719813e-05,3.88878086719813e-05,3.88878086719813e-05,0.23336573984056,3.88878086719813e-05,3.88878086719813e-05,0.00198327824227105
AL20101209$40,0.000143575017946877,0.000143575017946877,0.000143575017946877,0.0862885857860732,0.1724335965542,0.00732232591529074,0.000143575017946877,0.000143575017946877,0.000143575017946877,0.000143575017946877,0.000143575017946877,0.732376166547021,0.000143575017946877,0.000143575017946877,0.000143575017946877
AL20101210$41,3.41705108491372e-05,0.0205364770203315,3.41705108491372e-05,0.138424739449855,3.41705108491372e-05,0.00857679822313344,3.41705108491372e-05,3.41705108491372e-05,3.41705108491372e-05,3.41705108491372e-05,3.41705108491372e-05,0.787664445583461,3.41705108491372e-05,3.41705108491372e-05,0.0444558346147275
AL20101211$42,5.21784503000261e-05,5.21784503000261e-05,5.21784503000261e-05,0.542708061570571,5.21784503000261e-05,0.454004696060527,0.00266110096530133,5.21784503000261e-05,5.21784503000261e-05,5.21784503000261e-05,5.21784503000261e-05,5.21784503000261e-05,5.21784503000261e-05,5.21784503000261e-05,5.21784503000261e-05
AL20101212$43,4.44148345547413e-05,4.44148345547413e-05,4.44148345547413e-05,0.437530535198756,0.00226515656229181,0.16215856095936,4.44148345547413e-05,4.44148345547413e-05,0.0489007328447702,4.44148345547413e-05,4.44148345547413e-05,0.348700866089274,4.44148345547413e-05,4.44148345547413e-05,4.44148345547413e-05
AL20101213$44,3.58230342109977e-05,3.58230342109977e-05,3.58230342109977e-05,3.58230342109977e-05,0.00361812645531076,0.668135411069318,3.58230342109977e-05,3.58230342109977e-05,0.0448146157979581,0.0555615260612574,3.58230342109977e-05,0.227512090274046,3.58230342109977e-05,3.58230342109977e-05,3.58230342109977e-05
AL20101214$45,4.43164192333259e-05,4.43164192333259e-05,0.0864613339242189,0.520762242410813,4.43164192333259e-05,0.392244626634168,4.43164192333259e-05,4.43164192333259e-05,4.43164192333259e-05,4.43164192333259e-05,4.43164192333259e-05,4.43164192333259e-05,4.43164192333259e-05,4.43164192333259e-05,4.43164192333259e-05
AL20101215$46,3.08499151627333e-05,3.08499151627333e-05,3.08499151627333e-05,0.487459509486349,3.08499151627333e-05,3.08499151627333e-05,3.08499151627333e-05,3.08499151627333e-05,3.08499151627333e-05,3.08499151627333e-05,3.08499151627333e-05,0.510596945858399,3.08499151627333e-05,3.08499151627333e-05,0.0015733456732994
AL20101216$47,5.55092978073827e-05,5.55092978073827e-05,5.55092978073827e-05,0.0833194560088815,5.55092978073827e-05,0.607882320288648,5.55092978073827e-05,5.55092978073827e-05,5.55092978073827e-05,5.55092978073827e-05,5.55092978073827e-05,0.308132112128782,5.55092978073827e-05,5.55092978073827e-05,5.55092978073827e-05
AL20101217$48,0.193969849246231,0.000143575017946877,0.000143575017946877,0.000143575017946877,0.22986360373295,0.280114860014357,0.000143575017946877,0.1724335965542,0.000143575017946877,0.000143575017946877,0.000143575017946877,0.122182340272793,0.000143575017946877,0.000143575017946877,0.000143575017946877
AL20101218$49,7.71307365985345e-05,7.71307365985345e-05,7.71307365985345e-05,7.71307365985345e-05,0.212186656382568,0.640262244504435,7.71307365985345e-05,7.71307365985345e-05,7.71307365985345e-05,0.0116467412263787,7.71307365985345e-05,7.71307365985345e-05,0.135055919784034,7.71307365985345e-05,7.71307365985345e-05
AL20101219$50,5.1907604464054e-05,5.1907604464054e-05,5.1907604464054e-05,0.648896963405139,5.1907604464054e-05,5.1907604464054e-05,5.1907604464054e-05,0.00524266805086945,5.1907604464054e-05,5.1907604464054e-05,5.1907604464054e-05,0.345237477290423,5.1907604464054e-05,5.1907604464054e-05,5.1907604464054e-05
AL20101220$51,5.94707106749926e-05,5.94707106749926e-05,5.94707106749926e-05,5.94707106749926e-05,5.94707106749926e-05,0.0862920011894142,5.94707106749926e-05,5.94707106749926e-05,0.0268212905144216,0.413380909901873,5.94707106749926e-05,0.472851620576866,5.94707106749926e-05,5.94707106749926e-05,5.94707106749926e-05
AL20101221$52,0.0324311820495027,4.6264168401573e-05,4.6264168401573e-05,4.6264168401573e-05,4.6264168401573e-05,0.164284061993986,4.6264168401573e-05,4.6264168401573e-05,4.6264168401573e-05,4.6264168401573e-05,4.6264168401573e-05,0.802729585935693,4.6264168401573e-05,4.6264168401573e-05,4.6264168401573e-05
AL20101222$53,0.137367436057392,0.000124766063630692,0.000124766063630692,0.474235807860262,0.000124766063630692,0.218465377417342,0.000124766063630692,0.00636306924516531,0.000124766063630692,0.000124766063630692,0.000124766063630692,0.162320648783531,0.000124766063630692,0.000124766063630692,0.000124766063630692
AL20101223$54,4.01364639775236e-05,0.0341561308448726,0.0120810756572346,4.01364639775236e-05,4.01364639775236e-05,0.168613285169577,4.01364639775236e-05,4.01364639775236e-05,4.01364639775236e-05,4.01364639775236e-05,4.01364639775236e-05,0.784708007224564,4.01364639775236e-05,4.01364639775236e-05,4.01364639775236e-05
AL20101224$55,6.16712920135677e-05,6.16712920135677e-05,6.16712920135677e-05,0.191242676534073,0.0555658341042245,0.607523897625655,6.16712920135677e-05,6.16712920135677e-05,6.16712920135677e-05,6.16712920135677e-05,6.16712920135677e-05,0.144989207523898,6.16712920135677e-05,6.16712920135677e-05,6.16712920135677e-05
AL20101225$56,0.000157109190887667,0.000157109190887667,0.000157109190887667,0.000157109190887667,0.000157109190887667,0.000157109190887667,0.000157109190887667,0.0551453260015711,0.000157109190887667,0.000157109190887667,0.000157109190887667,0.942812254516889,0.000157109190887667,0.000157109190887667,0.000157109190887667
AL20101226$57,6.4040986231188e-05,6.4040986231188e-05,6.4040986231188e-05,6.4040986231188e-05,6.4040986231188e-05,0.999103426192763,6.4040986231188e-05,6.4040986231188e-05,6.4040986231188e-05,6.4040986231188e-05,6.4040986231188e-05,6.4040986231188e-05,6.4040986231188e-05,6.4040986231188e-05,6.4040986231188e-05
AL20101227$58,6.46621403168445e-05,6.46621403168445e-05,6.46621403168445e-05,6.46621403168445e-05,6.46621403168445e-05,0.510895570643388,6.46621403168445e-05,0.423601681215648,6.46621403168445e-05,6.46621403168445e-05,6.46621403168445e-05,0.0647268024571613,6.46621403168445e-05,6.46621403168445e-05,6.46621403168445e-05
AL20101228$59,5.70939194975735e-05,5.70939194975735e-05,5.70939194975735e-05,0.0514416214673137,5.70939194975735e-05,0.122809020839281,5.70939194975735e-05,5.70939194975735e-05,5.70939194975735e-05,5.70939194975735e-05,0.0428775335426777,0.782243791036255,5.70939194975735e-05,5.70939194975735e-05,5.70939194975735e-05
AL20101229$60,7.29128691213999e-05,7.29128691213999e-05,7.29128691213999e-05,7.29128691213999e-05,7.29128691213999e-05,0.900546846518411,7.29128691213999e-05,7.29128691213999e-05,7.29128691213999e-05,7.29128691213999e-05,7.29128691213999e-05,0.0985052861830113,7.29128691213999e-05,7.29128691213999e-05,7.29128691213999e-05
AL20101230$61,8.2203041512536e-05,0.0822852445540485,8.2203041512536e-05,8.2203041512536e-05,8.2203041512536e-05,0.300123304562269,8.2203041512536e-05,0.345334977394164,8.2203041512536e-05,0.0658446362515413,8.2203041512536e-05,0.205589806822852,8.2203041512536e-05,8.2203041512536e-05,8.2203041512536e-05
AL20101231$62,0.087596500257334,0.000102933607822954,0.000102933607822954,0.000102933607822954,0.000102933607822954,0.777251672671127,0.000102933607822954,0.133916623777663,0.000102933607822954,0.000102933607822954,0.000102933607822954,0.000102933607822954,0.000102933607822954,0.000102933607822954,0.000102933607822954
AL20101201$63,0.000203458799593082,0.000203458799593082,0.000203458799593082,0.000203458799593082,0.0205493387589013,0.569888097660224,0.000203458799593082,0.000203458799593082,0.000203458799593082,0.346083418107833,0.000203458799593082,0.0612410986775178,0.000203458799593082,0.000203458799593082,0.000203458799593082
AL20101202$64,0.000127959053103007,0.000127959053103007,0.0960972488803583,0.000127959053103007,0.000127959053103007,0.204862444017914,0.000127959053103007,0.000127959053103007,0.000127959053103007,0.000127959053103007,0.000127959053103007,0.639923224568138,0.000127959053103007,0.000127959053103007,0.0577095329494562
AL20101203$65,0.000269179004037685,0.0137281292059219,0.067563930013459,0.309825033647376,0.148317631224764,0.000269179004037685,0.000269179004037685,0.000269179004037685,0.000269179004037685,0.000269179004037685,0.000269179004037685,0.32328398384926,0.0406460296096904,0.000269179004037685,0.0944818304172274
AL20101204$66,0.000127959053103007,0.000127959053103007,0.115291106845809,0.000127959053103007,0.000127959053103007,0.192066538707614,0.000127959053103007,0.000127959053103007,0.000127959053103007,0.000127959053103007,0.000127959053103007,0.646321177223289,0.000127959053103007,0.000127959053103007,0.0449136276391555
AL20101205$67,0.350131233595801,0.000174978127734033,0.0439195100612423,0.000174978127734033,0.201399825021872,0.140157480314961,0.000174978127734033,0.000174978127734033,0.000174978127734033,0.000174978127734033,0.000174978127734033,0.0439195100612423,0.052668416447944,0.000174978127734033,0.166404199475066
AL20101206$68,0.000284495021337127,0.000284495021337127,0.000284495021337127,0.0145092460881935,0.000284495021337127,0.427027027027027,0.114082503556188,0.000284495021337127,0.0856330014224751,0.114082503556188,0.000284495021337127,0.1425320056899,0.000284495021337127,0.000284495021337127,0.0998577524893314
AL20101207$69,0.0143977191732003,0.000142551674982181,0.000142551674982181,0.142694226657163,0.000142551674982181,0.54183891660727,0.000142551674982181,0.000142551674982181,0.000142551674982181,0.221097647897363,0.000142551674982181,0.0785459729151818,0.000142551674982181,0.000142551674982181,0.000142551674982181
AL20101208$70,0.107996406109614,0.000179694519317161,0.000179694519317161,0.0630727762803234,0.0451033243486074,0.395507637017071,0.107996406109614,0.000179694519317161,0.0271338724168913,0.000179694519317161,0.000179694519317161,0.251752021563342,0.000179694519317161,0.000179694519317161,0.000179694519317161
AL20101209$71,0.00016220600162206,0.00016220600162206,0.00016220600162206,0.00016220600162206,0.29213300892133,0.357015409570154,0.0163828061638281,0.00016220600162206,0.00016220600162206,0.00016220600162206,0.00016220600162206,0.267802108678021,0.0650446066504461,0.00016220600162206,0.00016220600162206
AL20101210$72,0.0109324758842444,0.000214362272240086,0.000214362272240086,0.000214362272240086,0.000214362272240086,0.482529474812433,0.37534833869239,0.000214362272240086,0.000214362272240086,0.0859592711682744,0.000214362272240086,0.000214362272240086,0.000214362272240086,0.000214362272240086,0.0430868167202572
AL20101211$73,0.00011154489682097,0.00011154489682097,0.00011154489682097,0.0279977691020636,0.0614612381483547,0.680535415504741,0.00011154489682097,0.00011154489682097,0.00011154489682097,0.011266034578918,0.011266034578918,0.206469604015616,0.00011154489682097,0.00011154489682097,0.00011154489682097
AL20101212$74,0.000150037509377344,0.000150037509377344,0.000150037509377344,0.000150037509377344,0.195198799699925,0.637809452363091,0.00765191297824456,0.000150037509377344,0.022655663915979,0.000150037509377344,0.000150037509377344,0.135183795948987,0.000150037509377344,0.000150037509377344,0.000150037509377344
AL20101213$75,0.000151171579743008,0.0379440665154951,0.000151171579743008,0.000151171579743008,0.294935752078609,0.355404383975813,0.00770975056689342,0.000151171579743008,0.000151171579743008,0.226908541194255,0.000151171579743008,0.0757369614512472,0.000151171579743008,0.000151171579743008,0.000151171579743008
AL20101214$76,6.55093350802489e-05,6.55093350802489e-05,6.55093350802489e-05,0.00661644284310514,0.0917785784474288,0.684638060923682,0.0557484441532918,0.0360956436292172,6.55093350802489e-05,0.0950540452014412,6.55093350802489e-05,0.0295447101211923,6.55093350802489e-05,6.55093350802489e-05,6.55093350802489e-05
AL20101215$77,0.000145666423889294,0.000145666423889294,0.000145666423889294,0.000145666423889294,0.721194464675892,0.000145666423889294,0.000145666423889294,0.000145666423889294,0.0438455935906773,0.000145666423889294,0.000145666423889294,0.182228696285506,0.051128914785142,0.000145666423889294,0.000145666423889294
AL20101216$78,0.0500192086054552,7.68344218209758e-05,7.68344218209758e-05,0.0577026507875528,0.2267383787937,0.146062235881675,0.073069535151748,7.68344218209758e-05,7.68344218209758e-05,7.68344218209758e-05,7.68344218209758e-05,0.053860929696504,7.68344218209758e-05,7.68344218209758e-05,0.391932385708798
AL20101217$79,0.000139567341242149,0.000139567341242149,0.0629448709002093,0.000139567341242149,0.0978367062107467,0.572365666434054,0.000139567341242149,0.244382414515004,0.000139567341242149,0.000139567341242149,0.000139567341242149,0.0210746685275645,0.000139567341242149,0.000139567341242149,0.000139567341242149
AL20101218$80,0.000132187706543291,0.000132187706543291,0.0463978849966953,0.0331791143423662,0.000132187706543291,0.112491738268341,0.000132187706543291,0.000132187706543291,0.000132187706543291,0.535492399206874,0.000132187706543291,0.21163251817581,0.000132187706543291,0.000132187706543291,0.0596166556510244
AL20101219$81,0.000159616919393456,0.000159616919393456,0.000159616919393456,0.151795690343176,0.000159616919393456,0.399201915403033,0.0799680766161213,0.000159616919393456,0.000159616919393456,0.223623304070231,0.000159616919393456,0.143814844373504,0.000159616919393456,0.000159616919393456,0.000159616919393456
AL20101220$82,0.000136705399863295,0.000136705399863295,0.0548188653451811,0.000136705399863295,0.218865345181135,0.690498974709501,0.0343130553656869,0.000136705399863295,0.000136705399863295,0.000136705399863295,0.000136705399863295,0.000136705399863295,0.000136705399863295,0.000136705399863295,0.000136705399863295
AL20101221$83,0.000136705399863295,0.000136705399863295,0.0138072453861928,0.136842105263158,0.109501025290499,0.218865345181135,0.0753246753246753,0.0753246753246753,0.000136705399863295,0.21203007518797,0.000136705399863295,0.0753246753246753,0.08215994531784,0.000136705399863295,0.000136705399863295
AL20101222$84,0.168971332209106,0.000337268128161889,0.000337268128161889,0.000337268128161889,0.0677908937605396,0.152107925801012,0.000337268128161889,0.000337268128161889,0.0172006745362563,0.000337268128161889,0.000337268128161889,0.337605396290051,0.236424957841484,0.0172006745362563,0.000337268128161889
